,date,time,type,group-sku,sku,description,quantity,order city,order state,order postal,product sales,selling fees,fba fees,landing cost
123,"Apr 11, 201",9 3:19:33 AM PDT,Adjustment,3MM-2560(X2),3MM-2560(100),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,6.46
124,"Apr 11, 201",9 3:20:21 AM PDT,Adjustment,3MM-2560(X2),3MM-2560(100),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,6.46
125,"Apr 11, 201",9 3:34:29 AM PDT,Adjustment,3MM-2560(X2),3MM-2560(100),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,6.46
126,"Apr 11, 201",9 3:59:42 AM PDT,Adjustment,3MM-2560(X2),3MM-2560(100),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,6.46
127,"Apr 11, 201",9 4:14:27 AM PDT,Adjustment,3MM-2560(X2),3MM-2560(100),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,6.46
128,"Apr 11, 201",9 4:23:11 AM PDT,Adjustment,3MM-2560(X2),3MM-2560(100),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,6.46
129,"Apr 11, 201",9 4:27:25 AM PDT,Adjustment,3MM-2560(X2),3MM-2560(100),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,6.46
130,"Apr 11, 201",9 5:00:14 AM PDT,Adjustment,3MM-2560(X2),3MM-2560(100),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,6.46
131,"Apr 11, 201",9 5:20:50 AM PDT,Adjustment,3MM-2560(X2),3MM-2560(100),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,6.46
132,"Apr 11, 201",9 5:31:49 AM PDT,Adjustment,3MM-2560(X2),3MM-2560(100),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,6.46
133,"Apr 11, 201",9 7:18:30 AM PDT,Adjustment,3MM-2560(X2),3MM-2560(100),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,6.46
134,"Apr 11, 201",9 8:27:48 AM PDT,Adjustment,3MM-2560(X2),3MM-2560(100),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,6.46
135,"Apr 12, 201",9 1:27:42 AM PDT,Adjustment,3MM-1537(X4),3MM-1537,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,7.92
136,"Apr 14, 201",9 6:19:50 AM PDT,Adjustment,3MM-R1546(5),3MM-R1546 (5),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,1.33
137,"Apr 16, 201",9 3:04:42 AM PDT,Adjustment,WEL-24400-U,WEL-24400U,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,3.29
138,"Apr 20, 201",9 4:34:57 AM PDT,Adjustment,SOT-160214,SOT-160214,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,19.85
139,"Apr 20, 201",9 5:51:34 AM PDT,Adjustment,TOR-MS407W,TOR-MS407W,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,5.62
140,"Apr 20, 201",9 4:15:01 PM PDT,Adjustment,3MM-1626W,3MM-1626W(B),FBA Inventory Reimbursement - General Adjustment,1.0,,,,0.0,-0.0,-0.0,9.82
141,"Apr 21, 201",9 12:25:15 PM PDT,Adjustment,3MM-1626W(10),3MM-1626W(10),FBA Inventory Reimbursement - General Adjustment,1.0,,,,0.0,-0.0,-0.0,1.96
142,"Apr 21, 201",9 12:57:25 PM PDT,Adjustment,3MM-1626W(10),3MM-1626W(10),FBA Inventory Reimbursement - General Adjustment,1.0,,,,0.0,-0.0,-0.0,1.96
143,"Apr 22, 201",9 8:22:16 AM PDT,Adjustment,3MM-1539(X4),3MM-1539(20),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,11.0
144,"Apr 22, 201",9 8:57:03 AM PDT,Adjustment,WEL-24400-U,WEL-24400U,FBA Inventory Reimbursement - General Adjustment,1.0,,,,0.0,-0.0,-0.0,3.29
145,"Apr 23, 201",9 4:02:28 AM PDT,Adjustment,MOL-1439,MOL-1439,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,12.05
146,"Apr 24, 201",9 2:46:46 AM PDT,Adjustment,WEL-52432-U,WEL-52432-U,FBA Inventory Reimbursement - Lost:Warehouse,1.0,,,,0.0,-0.0,-0.0,19.5
