,sku,Total-Quantity-Sold,Total-Product-Revenue,Total-Selling-Fee,Total-Fba-Fees,Total-Landing-Costs,Total-Product-Profit,Return on Sales,Profit Per Quantity Sold
91,CON-187660,31.0,400.4699999999999,60.199999999999996,102.50999999999999,223.19999999999996,14.559999999999945,0.4696774193548369,0.4696774193548369
92,CON-187660-1,29.0,365.1399999999998,54.82000000000001,82.48999999999997,208.79999999999993,19.029999999999916,0.6562068965517213,0.6562068965517213
93,CON-22771,400.0,14248.540000000017,1709.7999999999986,1559.329999999994,7540.000000000031,3439.4099999999944,8.598524999999986,8.598524999999986
94,CON-413155,1.0,70.83,10.62,3.28,28.04,28.89,28.89,28.89
95,CON-420671,60.0,1654.6399999999996,248.1999999999998,195.3899999999999,705.0,506.04999999999995,8.434166666666666,8.434166666666666
96,CON-420680,1.0,49.98,7.5,3.28,18.46,20.739999999999995,20.739999999999995,20.739999999999995
97,DER-31815,506.0,5475.399999999951,657.3499999999998,974.3300000000075,3182.739999999988,660.9799999999559,1.30628458498015,1.30628458498015
98,HOL-7331(E),13.0,167.95999999999995,25.220000000000002,61.87999999999998,70.59,10.269999999999953,0.7899999999999964,0.7899999999999964
99,HOL-7805(E),64.0,1751.199999999999,262.62,222.8099999999999,695.6800000000002,570.0899999999988,8.907656249999981,8.907656249999981
100,HOL-7805E(B),139.0,3025.1000000000013,453.87000000000035,498.1199999999998,1510.9299999999964,562.1800000000048,4.044460431654711,4.044460431654711
101,HOL-7806(E),10.0,242.98000000000002,36.44,47.599999999999994,142.89999999999998,16.04000000000005,1.604000000000005,1.604000000000005
102,HOL-7910(E),60.0,891.5,133.81000000000006,130.2,330.0,297.49,4.958166666666667,4.958166666666667
103,HOL-7910E(B),60.0,866.7000000000004,130.11000000000004,131.97000000000006,330.0,274.62000000000023,4.5770000000000035,4.5770000000000035
104,HOL-79520(E),18.0,516.72,77.52,73.38,204.83999999999995,160.98000000000013,8.94333333333334,8.94333333333334
105,HOL-79530(E),10.0,373.0,44.760000000000005,31.900000000000006,109.89999999999998,186.44,18.644,18.644
106,HOL-79540(E),10.0,378.48,45.419999999999995,31.900000000000002,109.89999999999999,191.26000000000005,19.126000000000005,19.126000000000005
107,HOLL-14104,2.0,47.0,7.06,14.36,25.54,0.04000000000000625,0.020000000000003126,0.020000000000003126
